id,created_at,age_group,year_of_study,program,stream,gender,residence,panas_1,panas_2,panas_3,panas_4,panas_5,panas_6,panas_7,panas_8,panas_9,panas_10,panas_11,panas_12,panas_13,panas_14,panas_15,panas_16,panas_17,panas_18,panas_19,panas_20,panas_positive_score,panas_negative_score,social_satisfaction,belonging,close_friends,social_isolation,social_frequency,friendship_ease,initiation_anxiety,overthinking,avoidance,judgment_concern,conversation_initiator,first_interaction_comfort,fs_classes,fs_hostel,fs_clubs,fs_mutual,fs_online,fs_other,ib_fear_rejection,ib_not_knowing,ib_formed_groups,ib_no_topic,ib_low_energy,ib_nothing,ib_other,social_expansion_desire,online_comfort,structured_preference,spontaneous_value,social_friction_open,safety_factors,completion_time_seconds,trait_er,trait_cr,trait_si,trait_pf,trait_gp,trait_se,trait_ed,archetype,suspect_submission
40c04611-9722-4051-9493-cb3abf04f8ec,2026-02-24 08:24:56.129743+00,21-22,1st,M.Tech,pdm,Female,Hostel,2,3,3,4,3,3,4,4,2,2,3,2,2,4,4,3,3,4,3,3,27,34,4,4,4,2,Rarely,Easy,4,5,4,4,Depends on situation,Neutral,true,true,false,false,false,false,false,true,false,true,false,false,false,5,2,3,4,Having similar interest or if having disimilar also should be able to exchange the knowledge base and improve networking,"clan meetups where you won't be judged ",419,32,50,43,55,68,67,69,catalyst,false
9b5dc520-f80c-4994-9f1a-91912d9a65b7,2026-02-24 08:31:59.126968+00,23-24,1st,M.Tech,PDM,Female,Hostel,5,3,2,3,3,1,1,2,1,3,5,4,1,2,1,3,3,1,3,2,29,20,3,4,5,1,Very Often,Very Easy,3,1,4,2,Depends on situation,Uncomfortable,true,true,false,true,false,false,false,true,false,true,true,false,false,2,4,3,1,Not having anything in common to talk about or I just dont feel like talking,"Shared interest, same age group",307,63,50,58,67,55,75,26,balanced_navigator,false
8167b293-eef8-4f59-8967-bb15bb31db69,2026-02-24 10:37:30.019509+00,21-22,1st,M.Tech,PDM,Male,Hostel,5,1,4,3,3,2,1,2,4,4,5,5,2,5,4,5,4,1,5,2,44,23,4,3,4,1,Sometimes,Neutral,2,2,2,1,It happens naturally,Comfortable,false,true,false,true,false,false,false,false,true,false,false,false,false,4,2,2,3,,,168,72,47,68,71,77,74,74,catalyst,false
26f63581-500b-4f06-b742-650d558f0b7d,2026-02-24 10:39:22.043562+00,23-24,1st,M.Tech,PDM,Male,Hostel,4,1,4,1,2,1,1,1,4,3,1,4,1,4,1,4,4,1,4,1,37,10,2,3,4,2,Sometimes,Easy,4,4,4,2,It happens naturally,Comfortable,true,true,true,true,false,false,false,true,false,true,false,false,false,5,3,2,5,difficult to hold convo with People having different interest,,257,70,56,56,72,63,58,89,expansive_initiator,false
31b15eda-1220-4513-8c3f-3b6fea7445c4,2026-02-24 10:39:52.203381+00,21-22,1st,M.Tech,PDM,Male,Hostel,4,3,3,4,2,4,2,3,2,4,2,3,2,2,3,0,2,2,2,3,0,28,5,5,3,3,Sometimes,Easy,3,3,3,3,They usually start,Comfortable,false,true,false,false,false,false,false,true,false,false,false,false,false,4,4,4,3,,,151,57,57,42,66,58,79,56,balanced_navigator,false
7750afd5-5f1e-4f73-9bc4-f6ac89f9fb4b,2026-02-24 10:43:09.818706+00,23-24,1st,M.Tech,PDM,Male,Hostel,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,Sometimes,Neutral,2,2,2,2,Depends on situation,Neutral,true,false,false,false,false,false,false,false,false,false,false,true,false,4,2,3,4,"Easier: 
Common goals
Common intrest 
Sports
Startups
Hard:
People who are not interested to talk but still I want to talk",Yes I feel safe becoz It happens naturally when I meet like minded people.,583,67,36,64,54,67,39,80,balanced_navigator,true
2d436748-8bca-4532-adf2-23a351c7a050,2026-02-24 11:44:31.262961+00,23-24,1st,M.Tech,PDM,Male,Hostel,4,2,4,3,4,2,2,4,5,4,3,3,2,2,2,4,4,2,4,2,38,24,4,2,5,1,Often,Very Easy,4,5,2,3,I usually start,Neutral,true,true,true,true,false,false,true,true,false,true,false,false,false,4,5,4,3,,,377,50,79,76,51,79,68,66,balanced_navigator,false
fd90f7f7-8bb7-45fa-8ea9-aebeeab6b41b,2026-02-24 11:45:06.871885+00,23-24,1st,M.Tech,PDM,Male,Hostel,4,3,5,3,4,2,2,1,5,3,1,4,1,3,4,3,5,2,5,1,41,20,5,5,2,2,Often,Easy,3,2,4,2,They usually start,Neutral,false,false,true,true,false,true,false,false,false,true,false,false,false,5,4,4,5,its hard to meet new people who are not mtech since i am mtech and the only way i get to know ug people are through sports,i think its already safe and comfortable but all i need to do is try. its all upto me,415,65,71,58,72,58,87,92,balanced_navigator,false
02a53f88-a072-4759-a145-d122f98c9164,2026-02-24 11:50:38.057225+00,23-24,1st,M.Tech,PDM,Male,Hostel,2,3,3,2,4,2,1,3,2,1,3,3,1,2,3,4,3,4,3,1,27,23,3,3,2,1,Often,Neutral,2,1,3,3,They usually start,Neutral,true,false,false,false,false,false,false,false,false,false,true,false,false,4,3,3,4,,,299,65,41,57,55,52,61,56,reflective_observer,false
f693b242-820e-40ef-9d9d-cb69e77a3669,2026-02-24 11:51:46.832995+00,21-22,1st,M.Tech,PDM,Male,Hostel,3,4,2,4,4,3,4,1,2,2,3,4,3,3,3,4,4,3,3,4,31,32,4,4,4,2,Sometimes,Easy,4,4,4,4,Depends on situation,Uncomfortable,true,true,true,true,false,false,false,true,true,false,true,false,false,3,4,3,4,,,343,31,68,47,49,63,64,51,reflective_observer,false
